,CODE,ESTACION,LON,LAT,ALT
133,X4728C78C,CUSICANCHA GORE,-75.3,-13.48333,2680.0
134,X47290068,HUAC-HUAS GORE,-74.94583,-14.12861,3080.0
135,X47283708,HUALLPOCA GORE,-74.95588,-14.632,683.0
136,X4728247E,LETRAYOC GORE,-75.71889,-13.63972,776.0
137,X47255188,OCUCAJE,-75.68206,-14.37839,324.0
138,X4725B27A,PAUCARAY,-73.63833,-14.04361,3106.0
139,X4720E5C6,SAN JUAN DE MARCONA,-75.15036,-15.34721,5.0
140,X113061,SAN PEDRO DE HUACARPANA GORE,-75.64806,-13.04889,3630.0
141,X4729131E,SANTIAGO DE CHOCORVOS GORE,-75.25,-13.83333,3240.0
142,X47E26242,BOLLADERO,-72.00886,-16.58989,994.0
143,X4723D752,CHIVAY,-71.60169,-15.64163,3644.0
144,X47E8A60E,COTACOTA,-71.38955,-15.21331,4240.0
145,X47280292,COTAHUASI,-72.89331,-15.21134,2683.0
146,X47E3903C,CRUCERO ALTO,-70.911,-15.76448,4511.0
147,X4729E39A,EMA PAMPA DE MAJES,-72.15266,-16.33565,1498.0
148,X47E3A5A6,HUANCA,-71.88108,-16.03458,3065.0
149,X47E3834A,IMATA,-71.09062,-15.84266,4475.0
150,X472A8172,LA ANGOSTURA,-71.65124,-15.18255,4258.0
151,X472D23BE,OCO?A,-73.1145,-16.427,23.0
152,X47E360B8,PATAHUASI,-71.41481,-16.05542,4035.0
153,X47E373CE,PILLONES,-71.21333,-15.97861,4455.0
154,X47E3B6D0,SAN JOSE DE UZUNA,-71.32836,-16.58103,3269.0
155,X47E27134,SOCOSANI,-71.72056,-16.25944,2325.0
156,X472ED434,SUMBAY,-71.11667,-15.81667,4403.0
157,X472EE1AE,TINGO GRANDE,-71.57431,-16.45992,2196.0
158,X114119,VISCA VISCA,-71.9787,-14.7228,4247.0
159,X47E2B42A,BOCATOMA EL AYRO,-69.62672,-17.57994,4258.0
160,X47E2C2BA,CANDARAVE,-70.25519,-17.26708,3476.0
161,X47E143A0,CAPLINA,-69.91656,-17.69071,3561.0
162,X47E13530,CERRO BLANCO,-70.15224,-17.96844,885.0
163,X47E195C8,CHALLATA,-70.09888,-17.8151,1482.0
164,X47E292C6,CHUAPALCA,-69.66186,-17.30847,4204.0
165,X47E1654C,CORACHAY II,-70.28831,-17.11413,4146.0
166,X47E1A052,CORUCA,-70.45456,-17.63312,834.0
167,X47E12646,LAGUNA ARICOTA,-70.30828,-17.37072,2788.0
168,X47E100AA,LAGUNA VILACOTA,-70.03132,-17.16475,4448.0
169,X4720F6B0,MATARANI,-72.10577,-17.00136,55.0
170,X4723F1BE,MOQUEGUA,-70.93167,-17.16917,1450.0
171,X47E150D6,PUENTE TALAPALCA,-70.17213,-17.47491,2177.0
172,X47E186BE,PUENTE VIEJO,-70.76097,-17.61756,574.0
173,X47E1B324,REPRESA JARUMAS,-69.94863,-17.3692,4548.0
174,X47E113DC,REPRESA PAUCARANI,-69.76485,-17.53886,4587.0
175,X47E1763A,SALIDA TUNEL KOVIRE,-70.00949,-17.23771,4356.0
176,X47E2D1CC,TARATA,-70.03641,-17.4791,3042.0
177,X47E2A75C,VILACOTA,-70.04305,-17.0788,4465.0
178,X4727547C,CABALLOCOCHA,-70.51206,-3.91125,107.0
179,X47287402,CONTAMANA,-75.00632,-7.35254,185.0
180,X47252718,ENAPU PERU,-73.23694,-3.72722,126.0
181,X47288486,PEBAS,-71.85756,-3.31453,106.0
182,X4724E0FC,REQUENA,-73.83612,-5.04308,109.0
183,X47271776,SANTA CLOTILDE,-73.67925,-2.48757,150.0
184,X472DC04C,CAMPANILLA,-76.65311,-7.48434,290.0
185,X4723013A,EL PORVENIR,-76.31834,-6.58923,225.0
186,X212600,HUAYABAMBA,-76.73694,-7.26861,280.0
187,X4724851A,NARANJILLO,-77.39328,-5.80997,882.0
188,X47E2E456,TOCACHE,-76.50556,-8.18111,446.0
189,X47E845FC,CACHICOTO,-76.35028,-9.18361,1109.0
190,X47E86310,CALLERIA,-74.49886,-7.89825,165.0
191,X472D0552,CHINCHAVITO,-75.9425,-9.515,744.0
192,X472DA5AA,PUENTE BELLA,-76.02778,-9.32,663.0
193,X47E87066,PUERTO ESPERANZA,-70.75028,-9.75028,275.0
194,X4727A4F8,PUERTO INCA,-74.96083,-9.38139,253.0
195,X472D1624,PUENTE PEREZ,-75.9825,-9.34694,644.0
196,X47E8568A,SANTA ANA,-75.5597,-8.4984,230.0
197,X472B730C,TARUCA,-76.15111,-9.84694,408.0
198,X47270400,TINGO MARIA,-76.00207,-9.29601,646.0
199,X472722EC,HUANCAVELICA,-75.01237,-12.77163,3715.0
200,X472DF5D6,HUAYTAPALLANA,-75.06167,-11.92667,4684.0
201,X472AD10E,INIA CANAAN,-74.19889,-13.16678,2780.0
202,X4725D79C,OXAPAMPA,-75.38417,-10.59417,1850.0
203,X4729D600,PAMPA CANGALLO,-74.19889,-13.56184,3315.0
204,X47257764,TARMA,-75.69028,-11.39694,3200.0
205,X47263360,ABANCAY (G. SAN ANTONIO),-72.85694,-13.60492,2795.0
